,francise,address,TEL
361,의정부세무서점,"경기도 의정부시 둔야로49번길 49, 1층(의정부동, 담소리빌딩)",070-4070-5280
362,시흥배곧도서관점,경기도 시흥시 배곧4로 99 (배곧동),070-4070-0174
363,신림역2호점,서울 관악구 신림로 324 1층,NULL
364,진해우림필유점,경남 창원시 진해구 해원로 43,055-715-1040
365,대전가온비즈타워점,대전 대덕구 대화로 120 R116호,042-345-2227
366,대구상매혁신산단점,대구 동구 이노밸리로 3 (상매동) 1층,070-7809-4266
367,제주도청점,제주시 신대로 7길 7,070-8900-3535
368,인천경인교대역점,"인천 계양구 계산동 968-38, 1층 빽다방",NULL
369,안산제1종합시장점,"경기도 안산시 단원구 선이로 6, 101호 빽다방 (선부동, 일신건영휴먼빌아파트상가)",070-7798-1279
370,대전중리가구거리점,대전광역시 대덕구 한밭대로 1157,042-624-0600
371,제주월정리점,제주특별자치도 제주시 구좌읍 월정리 545,NULL
372,안산시그니처타워점,경기도 안산시 상록구 사동 1639-20 그랑시티 시그니처타워 1층 (112호),070-4006-8668
373,천안공주대점,충남 천안시 서북구 공대길 23 (부대동),070-8716-2525
374,화성정남발산점,경기 화성시 정남면 만년로 442-18 1층 ,NULL
375,일원영희초교점,"서울 강남구 일원로 3길20, 1층 빽다방",02-451-1103
376,아산신창점,충남 아산시 신창면 남성길 134,NULL
377,약수시장점,서울특별시 중구 다산로8길 17,02-6104-6227 
378,대구파티마삼거리점,"대구광역시 동구 동대구로 590 302동 지하1층, 102호(신암동, 동대구역화성파크드림오피스텔)",070-4048-6962
379,익산시청점,전북 익산시 인북로 234,070-4048-1112
380,양평구산드림타워점,서울 영등포구 선유로 47길 15,02-2636-4246
381,거제한화오션남문점,경상남도 거제시 거제대로3437,010-6606-1102
382,화성봉담2지구점,경기 화성시 봉담읍 상리중심상가길 28-9 ,031-292-1229
383,종암동아이파크2차점,"서울특별시 성북구 종암동 131-2, 1층",NULL
384,상계백병원점,서울 노원구 동일로 1354,070-4333-4229
385,서대구영무예다음점,"대구광역시 서구 당산로 446, 363동 103호(평리동 633-29번지 외)",0507-1498-9887
386,대전둔곡점,대전 유성구 구룡동 770-10 번지,070-4334-7767
387,양산북정점,"경상남도 양산시 북정동 891-12,1층",070-4012-4009
388,용인백암점,경기도 용인시 처인구 백암면 백암로 217,070-4333-1236
389,세종집현점,"세종시 집현동 1128,1층",0507-1338-0726
390,수원율전점,경기 수원시 장안구 서부로 2157 1층,031-895-5808
391,대전대동점,대전 동구 대동 542 다온빌딩 1층 106호,042-272-6636
392,월계그랑빌점,서울 노원구 월계동 18 1층 110호,NULL
393,인천간석북부역점,인천 남동구 석정로 518 엠타워 1층 104호,0507-1315-9084
394,월계롯데캐슬루나점,서울 노원구 월계로 45길 21,070-4333-8234
395,파주적성점,"경기도 파주시 적성면 청송로1026, 1층 일부",NULL
396,진주교대점,경상남도 진주시 신안동 433. 1층,070-4333-8484
397,여의도역점,서울특별시 영등포구 여의나루로 42,02-785-1117
398,강릉중앙시장점,강원도 성남동 60-20,033-823-2773
399,강릉옥천점,강릉시 옥천동 287 ,070-4911-7333
400,부산충무해안시장점,부산 서구 자갈치로 10길 (충무동1가 12-9),051-245-1950
401,구미4공단점,경상북도 구미시 산동면 봉산리 577-2 1층,054-475-5956
402,순천한국병원점,순천시 덕연로 66 1층,070-4048-6667
403,인천화전초교점,"인천광역시 계양구 주부토로 374, 1층 (102호)",070-4048-4550
404,대학로점,서울특별시 종로구 대학로 89(연건동) 1층,070-4764-1803
405,중화동제일시장점,서울 중랑구 묵동 250-38,070-4035-8113
406,김해삼계중앙점,경남 김해시 해반천로 144번길 12,NULL
407,대전학하오투그란데점,"대전광역시 유성구 학하서로20번길14, 101호",070-4048-5220
408,김해부원점,김해시 부원동 612-14. 1층,055-904-2890
409,당진터미널점,충청남도 당진시 밤절로 136,070-4070-6500
410,동대구신천테라스점,대구 동구 신천동 331-1,054-745-4456
411,빽다방 빵연구소 수원영통점,경기 수원시 영통구 중부대로447번길 9,031-222-1227
412,남악도청사거리점,전남 무안군 남악리 2024,061-281-1112
413,광주매곡점,광주광역시 북구 서하로 123,070-4006-1125
414,신도림큐브스테이트점,서울 구로구 경인로 611-7 102호,NULL
415,종로평창동점,"서울 종로구 평창문화로 75 (평창동, 글로리아타운) A동 112호",0507-1380-5031
416,시흥거북섬점,경기도 시흥시 거북섬남로 47,031-433-1867
417,마들역점,"서울 노원구 동일로 1554 (상계동, 다래빌딩) 1층",070-4212-0553
418,천안순천향병원점,충남 천안시 동남구 순천향4길 40,041-578-5800 
419,춘천강북점,"강원도 춘천시 충열로 1, 1층",033-251-8886
420,평택용죽점,경기도 평택시 용죽3로 20,070-8657-2129
421,청주탑동점,충북 청주시 상당구 용담로 50,070-4035-8300
422,갈매금강펜테리움점,경기 구리시 갈매순환로166번길 46 금강펜테리움타워 M-142호,031-869-2454
423,전남진도점,전남 진도군 진도읍 남동리 780-1,0507-1464-8904
424,대전새여울초점,대전 대덕구 석봉동 501-3,070-4047-4400
425,전주평화모악로점,전라북도 전주시 완산구 모악로4655 1층 빽다방,063-715-2550
426,청라국제업무단지점,인천 서구 청라한내로100번길 24 1층 132호,NULL
427,세종용포대평시장점,세종시 금남면 용포리 193-30,070-7711-2727
428,시흥대야역점,경기 시흥시 대야동 650-1,031-509-0514
429,대구만촌팔레스점,대구 수성구 만촌동 1463-1 1층,070-4012-7300
430,해방촌오거리점,서울특별시 용산구 신흥로20길 1,070-4010-8803
431,대구대현점,대구 북구 대현동 277-11,0507-1371-8729
432,인천송현점,"인천 동구 송현로 25 (송현동, 동인천역코아루시티) 110호",NULL
433,계룡대실지구점,"충청남도 계룡시 두마면 농소로 63, 1층",070-8893-8554
434,청라3단지루비점,인천 서구 청라동 145-2 청라유-에이치에이유에스 102호,070-4334-5503
435,목포옥암부주점,전남 목포시 남악1로52번길 27. 1층,061-282-6623
436,청라더리브티아모점,"인천광역시 서구 청라동 202-3, 1층",032-263-1276
437,부산부경대점,부산 남구 수영로 334번길 53,070-4833-7511
438,전주한옥마을점,전주시 완산구 풍남문2길 9,063-287-1379
439,원주단관점,"원주시 단구로 398 , 상가동 b 103호",033-766-7880
440,청주분평농협사거리점,충북 청주시 서원구 청남로 2010,0507-1409-0820
441,제주이호테우점,제주특별자치도 제주시 이호일동 1700-4 1충,NULL
442,대전신탄진IC점,대전 대덕구 신탄진로 681번길 20,042-931-1258
443,익산황등점,전라북도 익산시 황등면 황등로 108,063-918-6001
444,인천부평공고점,인천광역시 부평구 갈산동 367-4  1층 101호,070-8800-3487
445,목포대성점,"전라남도 목포시 양을로57번길 3, 1층",061-274-0022
446,천안쌍용자이점,충남 천안시 서북구 월봉1길 26,041-577-0813
447,대전복수목화점,"대전 서구 복수서로 50 (복수동, 삼익목화아파트) 목화아파트 제비상가동 101호",NULL
448,강릉입암점,"강원도 강릉시 월대산로 59 입암동 107-1, 1층",033-653-3032
449,대구상인월배로점,"대구광역시 달서구 상인동 314-6, 1층",070-4900-5756
450,중계브라운스톤점,"서울 노원구 중계동 506, 176호",02-971-5121
451,대전천동점,대전광역시 동구 대전로542번길 80-77,042-273-8316
452,완주삼봉지구점,전북 완주군 수계리 1243-3 1층 105호,0507-1437-1173
453,기장대청점,"부산광역시 기장군 기장읍 대청로 16, 1층",070-4833-0714
454,길동역점,서울 강동구 길동 391-5,02-6084-7180
455,대구청라힐스자이점,"대구 중구 남산로 73 (남산동, 청라힐스자이) 상가1동107호",070-4647-4054
456,제주이도초교점,제주특별자치도 제주시 일도이동 2036-1 1층,064-723-2279
457,시흥포동점,"경기 시흥시 신현로38번길 20 (포동, 신현로 40) 1층",070-4922-0006
458,전주수병원점,"전라북도 전주시 완산구 효자동2가 1255-1, 1층",070-4900-9118
459,양원역점,서울 중랑구 망우동 618-3 제일프라자 104호,02-3421-6540
460,제주아라점,"제주도 제주시 아라일동 6115-7, 1층",NULL
461,공릉중앙점,서울특별시 노원구 공릉동 345-3,02-977-6631
462,인천SK리더스뷰2차점,인천 서구 봉오대로 270 302동 B214호,070-4047-8991
463,세종해밀점,"세종특별자치시 해밀3로 51 (해밀동, 스카이허브) 1층",044-864-3619
464,파주해오름마을점,경기 파주시 다율동 1044(해올2길 2) 태산W타워 105호,070-8691-4426
465,일산어반스카이점,경기 고양시 일산서구 고양대로 666 e편한세상 일산 어반스카이 상가동 c110,031-8073-9392
466,전주안골네거리점,전라북도 전주시 덕진구 안덕원로250 1층,063-247-7410
467,인천연수보건소점,인천 연수구 청학동 474-9 1층,032-833-9272
468,안산시청점,경기도 안산시 단원구 고잔동 529-1,031-362-5232
469,인천검단금호점,"인천광역시 서구 바리미로5번길 12, 다승프라자2 103,104호",NULL
470,빽다방 빵연구소 화성남양점,경기 화성시 남양읍 북양리 263-6,031-355-4923
471,동탄레이크드림점,경기 화성시 동탄대로 198 1층 105호,031-374-1510
472,빽다방 빵연구소 북한산성점,서울시 은평구 진관동 279-50,02-352-1202
473,예산군청점,충남 예산군 예산읍 예산로 189,041-335-1939
474,대전신탄진동일점,대전광역시 대덕구 대청로 38,070-4333-0514
475,대구불로동점,"대구광역시 동구 불로동 1190, 1층",070-4060-5484
476,광주신현점,경기도 광주시 새말길 3,031-716-5927
477,청주사천점,충북 청주시 청원구 새터로 173,NULL
478,강원정선점,강원 정선군 정선읍 봉양6길 25-1 (봉양리) 1층 132호,033-562-1102
479,대전부사점,대전 중구 대종로 299 1층,070-4060-0960
480,진주정촌점,경상남도 진주시 정촌면 예하리 1296 1층,055-762-6717
481,대전와동점,대전 대덕구 와동 376 1층,070-4304-4320
482,대전경성큰마을점,"대전광역시 서구 대덕대로162번길 11, 1층",042-710-1977
483,전남목포삼학점,전라남도 목포시 자유로88,070-4099-5654
484,철산롯데캐슬점,경기 광명시 철산로29번길 9 효도프라자 1층,02-6085-3031
485,대구팔달노원점,대구 북구 팔달로 35길 72,0507-1375-6368
486,대구장기동점,대구 달서구 장기로 243,053-721-6529
487,익산모현현대점,전북 익산시 모현동1가 274-12,070-4334-7889
488,해운대대동사거리점,부산 해운대구 대천로103번길 29 (좌동 1288),051-704-2852
489,제주일도인제점,제주특별자치도 제주시 고마로 100,064-755-2023
490,서일대점,"서울 중랑구 용마산로 388(면목동, 성호유치원) 1층",02-6368-9789
491,화곡아덴하임점,"서울특별시 강서구 화곡로 238 (화곡동, 아덴하임) 1층 103호",070-7808-2495
492,계룡시청점,충남 계룡시 장안로 59-3,042-840-6633
493,대전도안수목토점,대전 서구 도안동 1244 1층,042-710-8090
494,경산하양중앙점,경상북도 경산시 하양읍 하양로 72,053-856-7997
495,울진군청점,경북 울진군 울진읍 울진중앙로 123-1,054-502-8259
496,화성남양시장점,경기 화성시 남양읍 남양성지로 139-1,070-8869-5864
497,대구수성3가점,대구 수성구 수성동3가 72-1,053-721-7152
498,전주대자인병원점,전주시 덕진구 우아동3가749-63,063-714-2004
499,인천아인여성병원점,인천광역시 미추홀구 주안동 포레나미추홀 201동 1층 1032호,032-713-9919
500,월곡두산위브점,서울시 성북구 오패산로 46,0507-1498-0352
501,인천검암우체국점,인천광역시 서구 승학로 414,032-562-6525
502,나주영산포점,전남 나주시 이창1길 10-1,070-4333-2312
503,부산명륜점,부산 동래구 명륜로 187번길 8 (명륜동 696-110),070-4332-0015
504,광주주월골드점,광주 광역시 남구 주월동 1328,0507-1305-3772
505,분당수내역1번출구점,경기 성남시 분당구 황새울로258번길 32,070-4077-0565
506,목포여객터미널점,목포시 해안로 189-1,061-242-1234
507,빽다방 빵연구소 천안용곡DT점,천안시 동남구 용곡동 546-6,070-4833-5030
508,구의중앙점,서울시 광진구 구의로6,02-454-0423
509,대전낭월점,대전 동구 산내로1305번길 6,042-300-1204
510,전북완주첨단점,전라북도 완주군 봉동읍 둔산리 900-1,070-8287-3824
511,부산명지국제타워점,부산광역시 강서구 명지국제8로 251,070-4323-1320
512,대전수정타운점,대전 서구 청사로 282 수정상가 1층,070-4348-0606
513,전주서부시장점,전라북도 전주시 완산구 용머리로149(힐스테이트어울림효자 상가1층 104호),070-4060-5235
514,난곡세이브점,서울 관악구 신림동 726-7( 난곡로 217) 1,NULL
515,대전둔산초점,대전 서구 둔산남로 41,042-471-1401
516,419사거리점,서울 강북구 수유동 279-84,070-8287-1419
517,공존점,"서울 구로구 새말로 97 (구로동, 신도림테크노마트) 34층",NULL
518,서귀포동홍중앙점,제주특별자치도 서귀포시 동홍동 96-4 1층,064-902-9976
519,가산로데오점,서울 금천구 가산동 60-51(디지털로 200) 가산IT타워 1층,070-4006-5024
520,철원와수리점,전남 무안군 강원도 철원군 서면 와수로 175,033-455-2777
521,평택동삭대림점,"경기도 평택시 모산1길 81, 103호",0507-1395-1340
522,인천관교한신점,인천 미추홀구 주안동 1525번지  1층,070-4833-7442
523,종로두산위브점,서울 종로구 수송동 58,070-4012-7907
524,양산세무서점,경남 양산시 물금읍 서들로 138 나래스타상가 105호 (가촌리 1301-4),055-363-1420
525,전남나주중앙점,전라남도 나주시 나주로173 1층,070-4066-7116
526,하계을지병원점,서울 노원구 하계동 179-25 1층,NULL
527,천안성정주공5단지점,충남 천안시 서북구 성정로 72,041-575-6842
528,마포시민공원점,서울 마포구 망원동 419-3(망원로 19)참존아파트상가 105호,02-332-8631
529,월계인덕대점,"서울 노원구 월계로 334, 102호",02-6014-0087
530,기흥역점,경기 용인시 기흥구 기흥역로 58번길 10,031-307-0068
531,수원매교힐스테이트점,경기 수원시 팔달구 효원로93번길 33 2동 107호,070-4046-0303
532,안산서울예대점,안산시 단원구 고잔동 646  1층,0507-1370-1211
533,파주봉서농협점,경기 파주시 파주읍 봉서리 828-5(통일로 1541),031-954-2988
534,목포중흥S클래스점,전라남도 목포시 비파로 96 (상동) 110호,061-284-8080
535,뚝섬상원길점,서울 성동구 상원길 50,02-6956-8668
536,세종고운남측점,"세종특별시 고운동 1720, 103호(세종시 마음로 70)",070-8648-0458
537,삼례우석대점,전라북도 완주군 삼례읍 동학로 116,063-291-8110
538,청주방서점,"충청북도 청주시 상당구 단재로 316, 상가 1동 113호(방서동, 청주센트럴자이)",043-714-3588
539,화성반월반달마을점,경기 화성시 영통로26번길 15,070-8287-3240
540,잠실레이크팰리스점,서울 송파구 석촌호수로 144,070-8287-1231
541,대구칠성하늘채점,대구 북구 칠성동2가 723,053-252-9991
542,이태원경리단길점,서울 용산구 회나무로13길 5,070-4070-6616
543,전남무안읍점,전남 무안군 무안읍 하마로15 상가동 102호,070-4794-4700
544,안산고잔역점,"경기 안산시 단원구 광덕4로 102, 신원프라자 1층 116호",070-7622-3195
545,천안입장점,충남 천안시 서북구 입장면 하장4길 2,070-4304-1151
546,대전문화점,"대전 문화동 571-1, 1층",0507-1373-4272
547,부산북구빙상센터점,부산 북구 금곡대로 48 (덕천동 310-10),051-343-3488
548,인천논현에코점,인천 광역시 남동구 논현동 768-1,070-8282-2775
549,여주중앙점,경기 여주시 세종로 17-1,070-8287-1155
550,수원고색산업단지점,"경기소 수원시 권선구 산업로 180, 104호 (고색동, DH테크타워)",070-4010-2722
551,삼양시장점,서울 강북구 미아동 867-118,070-4027-3328
552,보령동대점,충청남도 보령시 작은오랏4길 15-22,070-4693-2361
553,청주용암현대점,충북 청주시 상당구 월평로184번길 147,043-292-8256
554,대구범물시티월드점,대구 수성구 지범로 183,0507-1477-0290
555,대전장대점,대전 유성구 장대동 352-10,070-5001-5397
556,장안현대홈타운점,"서울 동대문구 장안벚꽃로 107 (장안동, 장안현대홈타운) 1층 109호",070-4833-1311
557,평택고덕로데오점,경기 평택시 고덕갈평6길 27 (고덕동) 121호,031-8054-8997
558,인천검단블루텍점,인천광역시 서구 오류동 1657-2 (1층 110호),070-4010-4000
559,가좌역점,"서울 서대문구 수색로2길 39 (남가좌동, DMC금호리첸시아) 1층 106호",NULL
560,강릉주문진점,"강원도 강릉시 주문진읍 항구로 65, 1층",NULL
561,백운현대점,인천 부평구 경원대로 1238 이화빌딩 1층,070-4032-1013
562,목동41타워점,"서울시 양천구 목동동로 293, 1층 1-10호(목동, 현대41타워)",02-2644-7140
563,논현영동시장점,서울 강남구 논현동 164-11(강남대로 506) 1층 109호,070-4035-3183
564,구리인창점,경기 구리시 인창동 412-12 (건원대로91),031-522-4113
565,대구내당점,"대구 서구 내당동 219-15번지, 1층",053-563-2177
566,익산부송오투점,익산 부송동 216-84 101호/102호,063-831-9555
567,남양주사능점,경기 남양주시 진건읍 용정리 768-7(사릉로442번길 25) 1층 101호,070-5097-1535
568,천호힐데스하임점,"서울 강동구 올림픽로 78길 30 (천호동 437-5) 힐데스하임천호 근생 8, 9호",02-470-1651
569,전주에코세병호점,전라북도 전주시 덕진구 송천동2가 1301-2,070-5088-2660
570,대전태평쌍용예가점,대전 중구 평촌로 102 (유천동) 1층,070-5066-3498
571,다산현대캠퍼스몰점,경기도 남양주시 다산동 6143 (다산순환로 20) 1층 E01-22호,031-869-3339
572,부천옥길호반점,"경기도 부천시 옥길동 777-4, 서영아너시티 1차 108호",070-5088-1970
573,부산사직점,부산 동래구 사직북로 4 자이언츠파크 102호,051-502-7750
574,일산하이파크시티점,경기 고양시 일산서구 덕이동 1541(하이파크3로78번길) 리더스프라자 101호,031-994-5055
575,수원곡반정동점,경기 수원시 권선구 곡반정로65번길 25,070-4833-1225
576,광주학운점,광주광역시 동구 의재로 71-1,070-4006-5232
577,평택동삭센트럴파크점,경기 평택시 지제동삭2로 181-36,070-5227-3235
578,대구칠곡학정점,대구 북구 학정동 941-5,053-325-6789
579,빽다방 빵연구소 연세대SK국제학사점,"서울특별시 서대문구 신촌동 134, 연세대학교 신촌캠퍼스 sk국제학사 지하2층",02-393-2238
580,등촌성당점,"서울시 강서구 공항대로 41길 51, 1층 101호, 102호",02-3663-4067
581,대구봉무공원점,"대구 동구 팔공로 242-13 (봉무동, 연세메디컬센터) 1층 109호",053-213-2893
582,세종한뜰마을4단지점,"세종시 어진동 520 한신더휴리저브2 111호,112호",070-4006-4320
583,인천검단파라곤점,인천광역시 서구 이음2로 29 (상가 603동 306호),070-7782-7667
584,강원횡성점,강원 횡성군 문정로 19번길 4,033-343-2537
585,대전한밭대점,"대전광역시 유성구 학하서로121번길 45-2, 1층",070-8691-3809
586,제주함덕점,제주도 제주시 조함해안로 450 (2~4층),064-784-8102
587,전주용소점,"전북 전주시 덕진구 시천로 17, 1층 (107호)",070-4010-4872
588,대구매천시장점,"대구시 북구 매천동 306번지, 1층",070-4077-3952
589,광명G타워점,경기도 광명시 소하로 190 1층 G타워,02-899-6256
590,춘천온의점,강원도 춘천시 춘천로 17번길 31 (더스위트캐슬 107호-108호 1층),070-4837-1291
591,남양주2청사점,경기 남양주시 다산동 3073-1(다산지금로16번길 43) 1층 106호,031-553-2297
592,고덕역점,서울 강동구 동남로75길 13-7,02-442-9159
593,천안신안점,"충청남도 천안시 동남구 충절로 21, 1층",041-565-3206
594,제주삼도일동점,제주특별자치도 제주시 삼도일동 788-1 1층,070-4366-0812
595,전주서곡지구점,전북 전주시 완산구 세내로544 1층,070-8691-4070
596,목포용해이로점,전남 목포시 용해동 234-7,070-4010-5265
597,강원양양점,강원 양양군 양양읍 양양로 57 (남문리) 1층,033-672-7774
598,오산세마역점,경기 오산시 세마역로 95,031-8055-7738
599,동탄카림3차점,"경기도 화성시 동탄순환대로12길 85, 제3653동 제지1층 제비108호,109호 (산척동, 그린힐 반도유보라 아이비파크 10)",070-4099-5990
600,부천상동하얀마을점,"경기도 부천시 상동 556-3번지, 1층",070-4047-4674
601,운서영종대로점,인천광역시 중구 운서동 3098-1 1층,032-746-0196
602,포천신읍점,경기도 포천시 중앙로 103,031-536-2229
603,제주화북남문점,제주도 제주시 화북1동 1984-9 1층,070-4010-8526
604,진접롯데시네마점,경기 남양주시 진접읍 해밀예당1로 36,070-4099-8090
605,조치원신흥점,세종시 조치원읍 대첩로 68,044-865-2272
606,전주우아한시티점,"전라북도 전주시 덕진구 우아동3가 747-81, 우아한시티 상가 19호",070-4012-3949 
607,대전갑천만년점,대전광역시 서구 만년동 6번지 102호,070-4010-4990
608,한성대입구역점,"서울 성북구 삼선교로 2-1, 1층",070-4066-0670
609,금천정훈단지점,"서울 금천구 독산로 211 (독산동, 세진아파트) 1층 101호",070-8648-1140
610,강릉내곡점,"강원 강릉시 범일로 631, 1층",033-651-1996
611,익산동산제일점,전북 익산시 평동로 725 동산동 동산제일2차아파트상가 102호,063-858-7775
612,송도스마트밸리점,"인천광역시 연수구 송도동 214, 송도 BRC 스마트밸리 지식산업센터 F동 207호(상가동)",032-710-9159
613,진주초장점,경남 진주시 초북로 50 (초전동 1699-3) 103호,055-753-0818
614,빽다방 빵연구소 부산미남역점,"부산광역시 동래구 우장춘로 7 (온천동, 보민빌딩)",051-557-1100
615,춘천우두택지점,강원도 춘천시 우두동 1118-1  (신축건물 1층 109호),070-4099-5149
616,정읍수성점,전북 정읍시 수성로 40,063-700-7025
617,주안센트레빌점,"인천광역시 미추홀구 주안동 22-14, 1층 101호+102호",070-4012-3399
618,분당정자역점,"경기 성남시 분당구 성남대로 331번길 13,1층 108호",031-719-6889
619,인천산곡푸르지오점,인천광역시 부평구 산곡동 124-25,032-713-7982
620,영종운서스카이점,"인천광역시 중구 흰바위로 284, 디딤돌프라자 1층 (103호)",032-751-7519
621,전남함평점,전남 함평군 함평읍 기각리 1001-5,070-4099-7949
622,대구공평네거리점,대구 중구 공평로 71 1층,070-4006-0270
623,서산테크노밸리점,충청남도 서산시 성연면 성연4로 27-28,041-584-5734
624,다산테라타워점,경기 남양주시 다산동 6250(다산지금로 202) 1층 129호,031-560-9922
625,대전법동점,"대전 대덕구 법동 282-7, 1층",042-632-0400
626,철원동송점,강원 철원군 동송읍 이평리 680-93,070-4010-8811
627,마곡리더스타워점,서울 강서구 마곡동 800-5(공항대로 228) 리더스타워 1층 111호,02-2039 -3312
628,동탄서영아너시티점,"경기 화성시 동탄영천로 101, 132~133호",031-376-6703
629,전주사대부고점,"전라북도 전주시 덕진구 백제대로639, 1층 뺵다방",070-4333-0078
630,아산호서대점,충남 아산시 배방읍 호서로79번길 15,070-4799-3644
631,수원호매실칠보점,"경기 수원시 권선구 금호로 56, 1층 102호",031-294-8253
632,대전스마트시티점,대전 유성구 도룡동 4-8  1층 120호,070-4833-1705
633,안산반월공단점,경기도 안산시 단원구 산단로 296  대우테크노피아 1층 제에이106호,070-4006-1707
634,부산지사동점,부산광역시 강서구 과학산단2로 20번길 6 (지사동 1196-2),051-971-9466
635,경북성주점,"경상북도 성주군 성주읍 성주로3283, M타워 1층 빽다방",054-932-0707
636,충북대병원점,"충북 청주시 서원구 개신동 52-3, 1층",070-4333-1833
637,인천당하점,인천 서구 청마로167번길 3,032-567-7479
638,제주평화로SK점,"제주특별자치도 제주시 해안동 2171, 1층",070-4010-1851
639,대전유성도안점,"대전 유성구 도안대로 512-16  (1층, 104호)",042-822-0988
640,시흥목감조남점,경기 시흥시 조남동 657 키움프라자 111호,070-4833-0219
641,마곡수명산점,"서울 강서구 내발산동 750-12 (웨스턴빌딩 1층, 103호)",070-7525-0808
642,대전유성센트럴점,"대전 유성구 계룡로 132번길 10  , 센트럴프라자 1층 105호",042-710-2522
643,천안백석대점,충남 천안시 동남구 문암로 80 1층,010-3061-3634
644,순천왕지점,전남 순천시 조례동 1833-5,070-4010-2424
645,동탄역시범단지점,경기도 화성시 청계동 514-2 서진프라자 105호,070-4566-2995
646,강서구청점,"서울특별시 강서구 화곡로 318-1, 1층",070-4333-0404
647,목동8단지점,서울 양천구 신정동 318-5 1층,070-4333-1840
648,길음롯데클라시아점,서울 성북구 길음동 508-16 롯데캐슬클라시아 상가동 117호,070-4010-1581
649,서귀포성읍마을점,제주특별자치도 서귀포시 표선면 성읍리 987-3 1층,NULL
650,숙대입구역점,서울 용산구 갈월동 90-10,02-712-0094
651,아산탕정역점,"충남 아산시 탕정면 한들물빛도시로 70, 109호",041-424-0400
652,성남도촌점,"경기 성남시 중원구 도촌남로 27 (도촌동 566, 114호)",070-4027-4334
653,속초부영점,강원 속초시 청대로 204번길 39 1층,033-636-1848
654,시흥배곧호반써밋점,경기 시흥시 배곧동 228-3,070-7576-4769
655,천안두정대림포레나점,충남 천안시 서북구 두정동 북일로 21 단지내 상가 103호,041-566-8260
656,부산정관행복타운점,"부산광역시 기장군 정관읍 정관1로 18, 이지1차상가 125동 104호",051-727-8441
657,병점역점,"경기도 화성시 떡전골로 96-4, 1층",070-8666-0030
658,수원파장점,경기 수원시 장안구 파장로 62,031-252-0964
659,연천역점,"경기도 연천군 연천읍 연천로260번길 11, 1층",031-834-6555
660,안산월피공원점,"경기도 안산시 상록구 예술광장로 11, 1층 101호",031-410-8472
661,춘천후평점,강원 춘천시 후석로 280,033-254-7177
662,주안북부역점,"인천 미추홀구 주안동 25-65  (5호,6호)",070-8680-0017
663,부평동아점,"인천 부평구 부평문화로 55 (부평동, 와이디타워) 1층, 102호",032-511-0622
664,빽다방 빵연구소 제주합동청사점,제주도 제주시 도남동 663-12,064-722-3334
665,시흥능곡장현점,경기 시흥시 능곡번영길 25,070-4365-7596
666,개롱역점,서울 송파구 가락동 166-2 에스케이허브파크 113호,070-8656-0882
667,원주간현점,강원특별자치도 원주시 지정면 간현리 1056-13 1층,033-901-2280
668,광주하남점,광주 광산구 사암로 216번길 30,062-400-3303
669,상계보람점,서울 노원구 상계동 456-129,02-6227-6952
670,충남부여점,충남 부여군 부여읍 석탑로 53 1층,041-837-8050
671,장안뉴시티점,"서울 동대문구 장한로 105 (장안동, 장안 NEW CITY) 1층",070-4010-5115
672,대전지족점,대전 유성구 지족로 374 옥타브상가 B동 1층,070-4366-0277
673,대전탄방역점,"대전 서구 계룡로553번길 18 (탄방동, 조이빌딩) 1층",070-4010-5439
674,대전송강동점,대전 유성구 봉산로 24 1층,010-8178-2396
675,송도닥터플러스몰점,인천광역시 연수구 컨벤시아대로 230번길 54, 070-8648-3525
676,가정역SK리더스뷰점,"인천 서구 가정로 437 (가정동, 루원시티 SK Leaders VIEW) 302동 B231호",032-222-9874
677,고대구로병원점,서울 구로구 구로동 730-60(구로동로 138),02-6015-9504
678,군산조촌디오션점,"전북 군산시 궁포3로 12, 1층 103호",070-7782-9555
679,아산탕정예미지점,충남 아산시 탕정면 매곡한들5길 6-4,041-428-3833
680,전주호성점,전라북도 전주시 덕진구 호성동1가 828-14,063-909-3600
681,인천구월정각초점,인천 남동구 구월동 1241-1,032-463-3113
682,영종하늘달빛점,인천 중구 하늘달빛로 94 (중산동) 1층,070-4099-4865
683,전남영광읍점,전남 영광군 영광읍 중앙로 166,070-4304-0645
684,수원매탄위브점,경기 수원시 영통구 인계로 220번길 10,031-211-7445
685,정읍중앙점,전라북도 정읍시 수성동 571-11,063-532-2306
686,안양메가트리아점,"경기도 안양시 만안구 태평로 60번길 42, 1층",0507-1391-1677
687,동탄프리미엄아울렛점,경기 화성시 동탄기흥로257번가길 30-2 101호,031-8055-0609
688,안양대림대앞점,경기 안양시 동안구 비산로 57 107호,031-464-0013
689,경주보문점,"경북 경주시 보문로 549 (천군동) 1층, 107호",054-773-1140
690,범계에이스점,경기 안양시 동인구 시민대로109번길 29 1층 118호,070-7776-8081
691,성남상대원센터엠점,경기 성남시 중원구 사기막골로62번길 33,031-620-5887
692,원주기업도시점,"강원도 원주시 지정면 신지정로 322-1, 110호",033-735-5959
693,평택현촌점,경기도 평택시 현촌 4길 6,031-8054-7740
694,영등포시장역점,서울 영등포구 국회대로50길 20 포레나영등포센트럴 상가동 117호,070-4353-1971
695,대전아이파크시티점,대전광역시 유성구 상대복용로29번길 52,042-716-4116
696,세종첫마을점,세종특별자치시 나성동 715 112호,044-863-4432
